start_time,stop_time,duration_min,slot_label,evening,Days Allowed
08:00:00,09:10:00,70,lec_70,FALSE,"M,T,W,Th,F"
08:00:00,09:20:00,80,lec_80,FALSE,"M,T,W,Th,F"
08:00:00,09:30:00,90,lec_90,FALSE,"M,T,W,Th,F"
08:00:00,09:45:00,105,lab_105,FALSE,"M,T,W,Th,F"
10:00:00,11:10:00,70,lec_70,FALSE,"M,T,W,Th,F"
10:00:00,11:20:00,80,lec_80,FALSE,"M,T,W,Th,F"
10:00:00,11:30:00,90,lec_90,FALSE,"M,T,W,Th,F"
10:00:00,11:45:00,105,lab_105,FALSE,"M,T,W,Th,F"
13:00:00,14:10:00,70,lec_70,FALSE,"M,T,W,Th,F"
13:00:00,14:20:00,80,lec_80,FALSE,"M,T,W,Th,F"
13:00:00,14:30:00,90,lec_90,FALSE,"M,T,W,Th,F"
13:00:00,14:45:00,105,lab_105,FALSE,"M,T,W,Th,F"
15:00:00,16:10:00,70,lec_70,FALSE,"M,T,W,Th,F"
15:00:00,16:20:00,80,lec_80,FALSE,"M,T,W,Th,F"
15:00:00,16:30:00,90,lec_90,FALSE,"M,T,W,Th,F"
15:00:00,16:45:00,105,lab_105,FALSE,"M,T,W,Th,F"
17:15:00,18:25:00,70,lec_70,FALSE,"M,T,W,Th"
17:15:00,18:35:00,80,lec_80,FALSE,"M,T,W,Th,F"
17:15:00,18:45:00,90,lec_90,FALSE,"M,T,W,Th,F"
17:15:00,19:00:00,105,lab_105,FALSE,"M,T,W,Th,F"
18:00:00,20:35:00,155,grad_eve,TRUE,"M,T,W,Th"
