group,course_number
Y1_SPRING_CS,COMP1050
Y1_SPRING_CS,COMP1200
Y2_FALL_CS,COMP2000
Y2_FALL_CS,COMP2100
Y2_SPRING_CS,COMP2350
Y2_SPRING_CS,COMP2650
Y3_SUMMER_CS,COMP3350
Y3_SUMMER_CS,COMP3450
Y1_FALL_CY,COMP1000
Y1_FALL_CY,COMP1100
Y1_FALL_CY,COMP2100
Y1_SPRING_CY,COMP1050
Y1_SPRING_CY,CYBR2500
Y2_FALL_CY,COMP1200
Y2_FALL_CY,COMP2000
Y2_SPRING_CY,COMP2150
Y2_SPRING_CY,COMP2350
Y3_FALL_CY,COMP3100
Y3_FALL_CY,COMP3400
Y3_FALL_CY,CYBR3500
Y3_SUMMER_CY,CYBR3550
Y3_SUMMER_CY,CYBR3590
Y4_SUMMER_CY,CYBR4550
Y4_SUMMER_CY,CYBR5500
Y1_FALL_IT,COMP1000
Y1_FALL_IT,COMP1010
Y1_SPRING_IT,COMP1050
Y1_SPRING_IT,COMP1100
Y2_FALL_IT,COMP2010
Y2_FALL_IT,CYBR2500
Y2_SPRING_IT,COMP1150
Y2_SPRING_IT,COMP2160
Y2_SPRING_IT,COMP2650
Y1_FALL_AI,COMP1000
Y1_FALL_AI,AAIN1000
Y2_FALL_AI,COMP1050
Y2_FALL_AI,COMP3000
Y2_SPRING_AI,DATA3125
Y2_SPRING_AI,COMP2350
Y2_SPRING_DS,COMP2350
Y2_SPRING_DS,DATA3125
Y3_FALL_DS,DATA3010
Y3_FALL_DS,COMP2650
