CRN,Subj,Crse,Section,Location,Credit,Title,Days,Time,Cap.,Act.,Rem,Instructor,Date (MM/DD)
,COMP,1000,1,BEATT 402,,Computer Science 1,WF,11:00 am-12:15 pm,25,,,Weijie,
,COMP,1000,1L,DOBBS 203,,Computer Science 1 - LAB,M,08:00 am-09:45 am,25,,,Weijie,
,COMP,1050,1,DOBBS 302,,Computer Science 2,MW,09:30 am-10:45 am,25,,,Dave,
,COMP,1050,1L,DOBBS 310,,Computer Science 2 - LAB,F,03:00 pm-04:45 pm,25,,,Dave,
,COMP,2000,1,WENTW 010,,Data Structures,TTh,08:00 am-09:45 am,25,,,Dave,
,COMP,2000,1L,BEATT 420,,Data Structures - LAB,F,08:00 am-09:45 am,25,,,Dave,
,COMP,2350,1,WILLS 204,,Algorithms,WF,12:30 pm-01:45 pm,25,,,Memo,
,COMP,2350,1L,WATSN 002,,Algorithms - LAB,M,10:00 am-11:45 am,25,,,Memo,
,COMP,2500,1,ANXCN 203,,Security Principles,MW,01:00 pm-02:45 pm,25,,,Cliff,
,COMP,2500,1L,DOBBS 203,,Security Principles - LAB,F,03:00 pm-05:15 pm,25,,,Cliff,
,COMP,3220,1,ANXCN 005,,Data Analytics,MW,08:00 am-09:15 am,25,,,Salem,
,COMP,3220,1L,ANXCN 005,,Data Analytics - LAB,F,08:00 am-09:45 am,25,,,Salem,
,COMP,3230,1,ANXCN 005,,Game Engine Development,TTh,08:00 am-09:15 am,25,,,Micah,
,COMP,3230,1L,ANXCN 005,,Game Engine Development - LAB,F,10:00 am-11:45 am,25,,,Micah,
,COMP,3350,1,ANXCN 014,,Programming Languages,WF,09:30 am-10:45 am,25,,,Aspen,
,COMP,3350,1L,ANXCN 014,,Programming Languages - LAB,M,08:00 am-09:45 am,25,,,Aspen,
,COMP,3350,2,ANXCN 005,,Programming Languages,MW,10:00 am-11:45 am,25,,,Frank,
,COMP,3350,2L,ANXCN 005,,Programming Languages - LAB,F,01:00 pm-02:45 pm,25,,,Frank,
,COMP,3350,3,ANXCN 014,,Programming Languages,TTh,08:00 am-09:45 am,25,,,Abdullah,
,COMP,3350,3L,ANXCN 005,,Programming Languages - LAB,F,03:00 pm-04:45 pm,25,,,Abdullah,
,COMP,3350,4,ANXCN 014,,Programming Languages,WF,11:00 am-12:15 pm,25,,,Sunjae,
,COMP,3350,4L,ANXCN 005,,Programming Languages - LAB,M,01:00 pm-02:45 pm,25,,,Sunjae,
,COMP,3400,1,ANXCN 014,,Operating Systems,MW,12:30 pm-01:45 pm,25,,,Kene,
,COMP,3400,1L,ANXCN 014,,Operating Systems - LAB,F,03:00 pm-05:15 pm,25,,,Kene,
,COMP,3450,1,ANXCN 005,,Parallel & Distributed Computing,TTh,09:30 am-10:45 am,25,,,Barry,
,COMP,3450,1L,ANXCN 103,,Parallel & Distributed Computing - LAB,F,08:00 am-09:45 am,25,,,Barry,
,COMP,3450,2,ANXCN 103,,Parallel & Distributed Computing,WF,02:00 pm-03:15 pm,25,,,Micah,
,COMP,3450,2L,ANXCN 005,,Parallel & Distributed Computing - LAB,M,03:00 pm-04:45 pm,25,,,Micah,
,COMP,3450,3,ANXCN 014,,Parallel & Distributed Computing,MW,03:00 pm-05:15 pm,25,,,Abdullah,
,COMP,3450,3L,ANXCN 103,,Parallel & Distributed Computing - LAB,F,10:00 am-11:45 am,25,,,Abdullah,
